institution_id,name,acronym,region,city,organization_type
1,Universidad de Cádiz,UCA,ANDALUCÍA,CADIZ,University
2,Universidad Politécnica de Cartagena,UPCT,MURCIA,CARTAGENA,University
3,Universidad de Alicante,UA,COMUNIDAD VALENCIANA,ALICANTE,University
4,Universitat Politècnica de Catalunya · BarcelonaTech,UPC,CATALUÑA,BARCELONA,University
5,Universidad Nacional de Educación a Distancia,UNED,COMUNIDAD DE MADRID,MADRID,University
6,Universidad Autónoma de Madrid,UAM,COMUNIDAD DE MADRID,MADRID,University
7,Universidad de Extremadura,UEX,EXTREMADURA,BADAJOZ,University
8,Universitat Autònoma de Barcelona,UAB,CATALUÑA,BARCELONA,University
9,Universidad de Barcelona,UB,CATALUÑA,BARCELONA,University
10,Universidad de Jaén,UJAEN,ANDALUCÍA,JAEN,University
11,Universidad de A Coruña,UDC,GALICIA,LA CORUÑA,University
12,Universitat de les Illes Balears,UIB,ISLAS BALEARES,PALMA DE MALLORCA,University
13,Universidad Pública de Navarra,UPNA,NAVARRA,NAVARRA,University
14,Pompeu Fabra University,UPF,CATALUÑA,BARCELONA,University
15,Universidad Rey Juan Carlos,URJC,COMUNIDAD DE MADRID,MADRID,University
16,Universidad de Valladolid,UVA,CASTILLA Y LEON,VALLADOLID,University
17,Universidad Comillas Pontifical,COMILLASUP,COMUNIDAD DE MADRID,MADRID,University
18,Universidad Pontificia de Salamanca,UPSA,CASTILLA Y LEON,SALAMANCA,University
19,Universidad de Alcalá,UAH,COMUNIDAD DE MADRID,MADRID,University
20,Universidad de Girona,UDG,CATALUÑA,GIRONA,University
21,Universidad de Huelva,UHU,ANDALUCÍA,HUELVA,University
22,Universidad del País Vasco,EHU,PAÍS VASCO,VIZCAYA,University
23,Universidad de Lleida,UDL,CATALUÑA,LLEIDA,University
24,Universidad CEU San Pablo,USPCEU,COMUNIDAD DE MADRID,MADRID,University
25,Universidad de Zaragoza,UNIZAR,ARAGÓN,ZARAGOZA,University
26,Universidad de Salamanca,USAL,CASTILLA Y LEON,SALAMANCA,University
27,Universidad de Santiago de Compostela,USC,GALICIA,LA CORUÑA,University
28,Universidad Ramon Llull,URL,CATALUÑA,BARCELONA,University
29,Universidad de Málaga,UMA,ANDALUCÍA,MALAGA,University
30,Universidad de La Laguna,ULL,ISLAS CANARIAS,SANTA CRUZ DE TENERIFE,University
31,Universidad de Murcia,UM,MURCIA,MURCIA,University
32,Universidad de Oviedo,UNIOVI,ASTURIAS,ASTURIAS,University
