ods	influratio	tw_publications	total_tw	wp_publications	total_wp	nw_publications	total_nw	po_publications	total_po
3	632080	26832	642003	866	1440	4851	41048	1285	2419
14	175763	7266	167558	315	560	1136	9811	598	1221
13	162235	6175	153480	278	538	1004	9111	560	1206
15	155819	6867	160446	273	476	1048	7839	557	1091
5	140857	6316	133425	205	309	1000	8837	348	649
11	89335	4119	84560	158	308	654	4858	393	764
2	49599	2531	53017	82	155	352	2538	239	514
6	40403	2799	35196	79	134	298	2204	160	306
12	39304	1508	37127	68	135	258	2234	150	355
7	38326	2103	39496	82	159	285	1898	188	400
9	35814	1804	38776	73	149	236	1648	208	429
8	23977	641	27421	29	84	123	1023	93	208
4	19143	1292	24495	36	60	126	577	63	92
10	16534	1048	18449	25	64	117	594	88	132
16	6659	451	7299	10	12	51	306	20	30
1	2154	185	2290	8	8	17	67	16	25
