ods	id	title	year	type	journal	esi	influscore	news	policy	twitter	wikipedia	authors
1	70148	Income elasticities for food, calories and nutrients across Africa: A meta-analysis	2018	Article	FOOD POLICY	Agricultural Sciences	29	0	2	24	0	6
1	70149	Thresholds of socio-economic and environmental conditions necessary to escape from childhood malnutrition: a natural experiment in rural Gambia	2018	Article	BMC MEDICINE	Agricultural Sciences	20	0	1	29	0	5
1	70150	Impact of Different Levels of Supervision on the Recovery of Severely Malnourished Children Treated by Community Health Workers in Mali	2021	Article	NUTRIENTS	Agricultural Sciences	13	0	0	21	0	10
1	70151	Do agri-food market incentives improve food security and nutrition indicators? a microsimulation evaluation for Kenya	2021	Article	FOOD SECURITY	Agricultural Sciences	11	0	0	5	0	6
1	70152	Impact of Integration of Severe Acute Malnutrition Treatment in Primary Health Care Provided by Community Health Workers in Rural Niger	2021	Article	NUTRIENTS	Agricultural Sciences	9	0	0	10	0	9
1	70153	Child Dietary Diversity and Associated Factors Among Children in Somalian IDP Camps	2020	Article	FOOD AND NUTRITION BULLETIN	Agricultural Sciences	8	0	0	1	0	3
1	16850	Factors Associated with Stunting among Children Aged 0 to 59 Months from the Central Region of Mozambique	2017	Article	NUTRIENTS	Agricultural Sciences	7	0	3	7	0	6
1	66759	The Digitalization of the European Agri-Food Cooperative Sector. Determining Factors to Embrace Information and Communication Technologies	2021	Article	AGRICULTURE-BASEL	Agricultural Sciences	7	0	0	15	0	3
1	70154	Quality of care for treatment of uncomplicated severe acute malnutrition delivered by community health workers in a rural area of Mali	2018	Article	MATERNAL AND CHILD NUTRITION	Agricultural Sciences	6	0	0	9	0	4
1	7071	Malnutrition in all its forms by wealth, education and ethnicity in Latin America: who are more affected?	2020	Article	PUBLIC HEALTH NUTRITION	Agricultural Sciences	6	0	0	10	0	5
1	4052	Augmented human development in the age of globalization(dagger)	2021	Article	ECONOMIC HISTORY REVIEW	Arts & Humanities	51	1	0	69	1	1
1	64671	Neonatal discrimination and excess female mortality in childhood in Spain in the first half of the twentieth century	2021	Article	CLIOMETRICA	Arts & Humanities	21	1	0	2	0	1
1	62523	Collaboration matters: capacity building, up-scaling, spreading, and sustainability in citizen-generated data projects	2021	Article	HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS	Arts & Humanities	8	0	0	10	0	4
1	63687	Mycobacterium leprae diversity and population dynamics in medieval Europe from novel ancient genomes	2021	Article	BMC BIOLOGY	Biology & Biochemistry	54	1	0	69	1	39
1	70155	Drivers of sex ratio bias in the eastern bongo: lower inbreeding increases the probability of being born male	2019	Article	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Biology & Biochemistry	7	0	0	16	0	3
1	59731	Child stunting is associated with weaker human capital among native Amazonians	2018	Article	AMERICAN JOURNAL OF HUMAN BIOLOGY	Biology & Biochemistry	3	0	0	5	0	10
1	70156	Hair cortisol levels in pregnancy as a possible determinant of fetal sex: a longitudinal study	2021	Article	JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE	Clinical Medicine	201	26	0	13	0	5
1	60961	The Unbearable Lightness of Being Malnourished: Severe Acute Malnutrition Remains a Neglected Tropical Disease	2018	Editorial Material	JOURNAL OF TROPICAL PEDIATRICS	Clinical Medicine	84	0	0	118	0	2
