institution_id	esi	aas_publications	total_aas	tw_publications	total_tw	wp_publications	total_wp	nw_publications	total_nw	po_publications	total_po
9	Global	18844	400190	18115	442425	701	1649	2916	21810	432	763
8	Global	14965	292374	14451	307581	654	1648	2294	15927	363	600
35	Global	13562	240384	12919	241716	544	1331	1943	14403	297	489
14	Global	5391	182403	5223	161057	295	783	1301	12316	208	378
9	Clinical Medicine	6587	173626	6390	230177	169	276	1031	8411	218	401
6	Global	10823	171269	10340	179014	378	709	1626	9369	153	242
48	Global	11420	158167	10952	176786	343	630	1255	7758	196	289
22	Global	9773	127475	9386	122874	270	633	1131	7371	119	201
40	Global	9074	120119	8600	109190	259	450	1081	7091	137	189
103	Global	4969	111649	4926	122629	121	204	861	7301	157	240
8	Clinical Medicine	5622	107847	5500	140556	125	188	783	4545	130	184
35	Clinical Medicine	4589	103422	4402	123906	72	118	708	5914	149	242
38	Global	3931	89612	3734	87094	205	494	632	5706	79	92
148	Global	4218	89141	4103	103639	78	120	750	5075	122	226
103	Clinical Medicine	3655	87055	3628	97834	70	97	589	5599	116	168
37	Global	7815	85429	7434	93804	180	274	871	4140	132	185
60	Global	4158	85417	3992	92418	116	184	756	5103	145	232
99	Global	2885	79231	2797	94199	57	77	513	4670	87	127
31	Global	5307	74899	5104	72634	132	241	511	4665	83	117
25	Global	6553	74603	6223	79843	234	548	693	3758	121	177
30	Global	3436	73787	3097	36014	349	1096	519	5540	34	51
19	Global	3435	71689	3237	80638	131	286	481	3800	67	98
6	Clinical Medicine	3241	71131	3161	80894	61	99	564	3983	78	138
148	Clinical Medicine	2964	68723	2896	85165	53	87	473	3843	93	157
48	Clinical Medicine	3484	67145	3369	86632	71	102	471	3140	84	134
99	Clinical Medicine	2107	67071	2054	81693	39	52	367	4057	73	107
130	Global	2714	62670	2641	68367	80	147	460	3739	86	180
27	Global	5693	62368	5461	75021	178	784	559	2582	101	151
78	Global	3083	59310	3004	73093	65	111	415	2923	85	168
32	Global	4101	58716	3914	51115	137	294	496	3688	52	67
36	Global	4706	57888	4322	54830	134	228	674	3212	131	308
14	Clinical Medicine	1633	57355	1595	39239	41	95	393	4717	93	168
29	Global	4021	53398	3778	51079	114	206	562	3076	88	140
30	Space Sciences	1576	50961	1335	14115	279	902	306	4437	0	0
34	Global	3707	50180	3467	57802	72	126	530	2677	71	85
26	Global	4262	49910	4069	51051	118	217	515	2714	78	105
15	Global	3238	49274	3075	63233	83	162	397	1731	53	70
104	Global	1788	49246	1753	71695	31	50	278	1942	48	70
86	Global	2315	48852	2241	61589	41	65	398	2260	70	97
60	Clinical Medicine	2013	46504	1954	53538	43	62	381	2647	83	140
107	Global	2563	46168	2483	55809	43	55	369	2202	77	112
130	Clinical Medicine	1841	46043	1797	51028	47	99	298	2860	57	140
42	Global	2706	44964	2595	49905	54	100	334	2292	42	56
12	Global	2938	44056	2827	45896	112	209	338	2099	62	94
78	Clinical Medicine	2193	44035	2143	57140	37	65	292	2002	60	121
4	Global	5371	42620	5178	41500	115	169	316	2063	63	82
40	Clinical Medicine	2490	42616	2383	40362	36	42	328	2835	58	82
47	Global	6080	41955	5864	46761	112	200	364	1809	88	118
33	Global	3929	41357	3727	45842	88	162	396	1568	67	86
14	Molecular Biology & Genetics	722	40937	712	42547	71	262	237	2387	2	3
3	Global	3882	40725	3764	45565	151	290	274	1734	63	112
86	Clinical Medicine	1637	39918	1583	52597	21	34	263	1778	55	75
111	Global	1980	39280	1927	44279	26	37	350	2157	42	59
43	Global	2473	38019	2360	33023	76	155	264	2367	49	86
134	Global	1650	37854	1592	49710	32	56	283	2043	53	87
8	Environment/Ecology	1341	37554	1292	39754	75	147	228	1809	98	213
84	Global	1688	36984	1642	38823	33	52	331	2076	52	83
22	Clinical Medicine	1744	36975	1692	42158	33	57	262	2101	34	64
31	Clinical Medicine	2275	36562	2200	37422	29	45	213	2332	44	59
59	Global	1732	35339	1634	32889	57	139	235	2362	61	82
9	Immunology	1219	34723	1183	41788	33	72	218	1666	62	130
62	Global	909	34651	894	44635	20	38	119	1452	23	40
20	Global	2709	34548	2623	39862	58	110	238	1459	46	64
83	Global	2007	34138	1948	40476	52	94	362	1649	46	95
108	Global	1398	33742	1357	34860	32	47	262	2177	25	52
8	Neuroscience & Behavior	1502	33617	1441	27862	31	47	504	2549	26	41
100	Global	2628	33557	2553	44806	56	78	303	1548	50	61
1	Global	2139	33371	1986	24613	71	178	214	2369	48	67
107	Clinical Medicine	1748	32564	1701	40831	22	29	234	1492	54	73
38	Clinical Medicine	1054	32119	1026	41315	27	33	173	1619	28	33
14	Biology & Biochemistry	841	31889	830	33116	72	194	209	1906	5	8
44	Global	3247	30969	3058	30961	91	185	253	1466	81	137
37	Clinical Medicine	2049	30952	1965	35353	38	60	283	1677	57	76
104	Clinical Medicine	1324	30790	1300	47675	17	23	196	1127	36	53
9	Psychiatry/Psychology	1554	30412	1490	26726	57	106	242	1858	43	80
45	Global	1349	30371	1312	37998	23	34	148	1515	14	17
9	Biology & Biochemistry	1409	30358	1369	24816	55	123	271	2371	7	19
9	Molecular Biology & Genetics	918	29490	899	26145	43	146	216	2196	5	17
9	Neuroscience & Behavior	1632	29408	1549	25695	63	97	499	1849	26	34
138	Global	1704	29370	1656	36257	16	23	247	1472	41	55
92	Global	964	28814	945	31377	21	38	197	1937	34	56
50	Global	2099	28666	1954	28941	70	140	198	1534	51	71
14	Environment/Ecology	597	28422	580	20057	32	107	200	2430	58	128
19	Clinical Medicine	1189	28285	1149	37444	31	58	161	1198	32	42
23	Global	2066	27946	1978	32359	36	63	225	1201	59	86
108	Clinical Medicine	990	27326	968	28338	19	32	193	1834	23	48
111	Clinical Medicine	1319	26758	1287	33193	11	15	205	1215	27	38
9	Environment/Ecology	1275	26559	1228	26089	45	73	190	1480	48	73
56	Global	1674	26554	1599	32950	56	83	231	1010	27	33
134	Clinical Medicine	1234	25690	1190	34146	21	32	197	1218	45	76
83	Clinical Medicine	1424	25685	1389	33171	30	56	209	1133	39	73
113	Global	1097	25260	1062	22533	18	41	121	1762	15	20
84	Clinical Medicine	1169	24851	1137	27461	16	21	194	1326	39	60
26	Clinical Medicine	1532	24710	1483	26418	26	32	234	1529	43	64
114	Global	1458	24385	1404	29260	21	45	262	1154	40	57
123	Global	1169	24209	1156	24471	30	55	133	1417	27	33
118	Global	1500	23790	1467	27933	25	35	215	1371	31	47
100	Clinical Medicine	1911	23788	1870	35052	36	43	196	929	39	46
16	Global	2617	23538	2462	22101	62	118	298	1238	51	76
45	Clinical Medicine	872	23526	847	29852	14	20	102	1255	10	12
92	Clinical Medicine	811	23330	795	25895	16	27	163	1608	32	54
52	Global	2161	23021	2046	22140	62	108	234	1176	45	60
35	Geosciences	846	22113	791	16315	104	196	127	1566	19	28
96	Global	1213	21747	1175	26417	19	30	186	1020	29	39
34	Clinical Medicine	907	21355	866	34659	16	28	125	914	14	20
138	Clinical Medicine	1226	21341	1198	27973	7	9	164	1007	32	45
8	Molecular Biology & Genetics	717	21033	702	17583	51	342	166	1475	1	1
8	Immunology	941	20665	917	23620	35	53	106	1010	27	43
58	Global	881	20399	848	20963	27	46	179	1122	22	32
42	Clinical Medicine	972	20205	931	24222	15	38	132	1002	21	27
25	Clinical Medicine	1607	20052	1551	28451	26	48	171	735	45	68
41	Global	1731	20024	1630	19551	42	67	197	1118	34	46
96	Clinical Medicine	1008	19265	978	23817	15	22	147	913	24	31
35	Psychiatry/Psychology	815	19262	770	17967	24	51	139	1228	11	30
118	Clinical Medicine	1065	19171	1046	21937	17	26	144	1228	26	39
13	Global	1283	18933	1212	26036	29	53	149	549	15	17
114	Clinical Medicine	1010	18906	983	22937	11	17	180	928	32	43
8	Biology & Biochemistry	906	18649	874	14261	59	373	173	1381	5	6
5	Global	1441	18617	1354	18525	113	297	155	1092	27	38
15	Clinical Medicine	1038	18467	1007	26070	18	34	102	576	15	22
27	Clinical Medicine	1296	18449	1243	23000	41	68	163	817	24	30
11	Global	2135	18358	2053	22070	47	118	145	608	30	42
123	Clinical Medicine	778	18100	770	17162	23	48	73	1189	16	20
29	Clinical Medicine	1086	17835	1036	20126	18	28	189	861	34	47
28	Global	1177	17776	1124	18877	37	54	143	839	51	112
119	Global	1036	17714	1007	18950	19	25	158	1153	31	50
7	Global	2397	17704	2258	20262	65	96	171	586	52	63
9	Geosciences	946	17663	896	14824	70	140	106	998	22	43
32	Clinical Medicine	1113	17662	1082	14103	24	30	147	1336	13	13
62	Immunology	106	17635	102	21740	7	16	21	881	4	9
8	Geosciences	625	17610	571	13706	136	515	124	1074	13	24
143	Global	980	17095	957	25923	20	28	132	693	16	26
19	Environment/Ecology	480	17006	465	16761	20	48	100	1027	24	38
6	Molecular Biology & Genetics	701	16976	675	15313	32	46	158	1124	2	2
9	Microbiology	959	16438	936	18563	34	79	154	773	41	82
9	Plant & Animal Science	1000	16104	951	16062	89	342	106	802	13	29
155	Global	931	15975	904	20145	19	22	161	652	16	26
71	Global	1372	15818	1352	20186	14	16	125	677	22	27
49	Global	1905	15802	1799	17914	43	69	201	607	42	54
9	Space Sciences	633	15802	568	7408	47	228	68	1212	1	1
35	Environment/Ecology	647	15791	618	12903	29	63	115	1059	29	77
6	Biology & Biochemistry	892	15745	856	14796	32	51	169	1009	2	4
51	Global	1038	15744	996	18367	19	38	166	655	31	45
119	Clinical Medicine	836	15725	815	16840	14	15	131	1053	27	46
160	Global	1049	15588	1023	19570	21	33	138	638	23	35
79	Global	1142	15438	1111	18344	13	25	157	717	15	19
8	Plant & Animal Science	1054	15384	1019	14211	82	344	123	807	27	46
38	Arts & Humanities	170	15351	162	8444	30	120	52	1463	1	1
104	Immunology	222	15181	217	20784	5	8	35	654	8	13
10	Global	1749	15169	1636	14231	46	73	194	734	22	26
59	Clinical Medicine	401	15040	385	17112	11	18	68	946	22	35
33	Clinical Medicine	1077	14914	1036	17654	11	18	127	591	27	38
40	Environment/Ecology	1000	14886	929	10962	23	44	123	1113	34	49
21	Global	1259	14853	1175	12026	50	70	162	939	15	18
35	Neuroscience & Behavior	923	14642	885	13983	26	47	257	797	14	18
69	Global	1235	14579	1195	21016	14	25	92	439	26	37
8	Social Sciences, General	931	14553	889	17758	28	64	66	453	57	87
143	Clinical Medicine	735	14426	721	22966	14	22	98	565	14	24
36	Environment/Ecology	709	14416	645	10723	18	30	128	1067	47	156
103	Neuroscience & Behavior	701	14239	693	14617	20	40	176	870	26	43
72	Global	1120	14129	1088	16764	13	24	139	656	33	44
128	Global	881	14108	859	18016	12	23	122	650	32	58
89	Global	1017	14044	994	15549	21	39	118	712	23	34
22	Environment/Ecology	798	13967	767	14248	19	35	116	737	39	80
35	Immunology	865	13947	838	15813	16	33	117	675	27	42
15	Environment/Ecology	602	13804	575	19809	16	29	91	449	18	19
60	Agricultural Sciences	481	13728	471	11814	15	20	132	936	28	45
23	Clinical Medicine	580	13446	570	18935	7	21	65	466	23	41
68	Global	819	13224	813	15877	18	23	85	649	6	10
53	Global	857	13151	815	8536	38	117	88	1018	8	10
32	Environment/Ecology	529	12773	511	11831	19	47	97	748	11	16
65	Global	814	12710	795	17186	18	34	107	585	24	36
69	Clinical Medicine	960	12631	928	18146	12	23	71	395	22	30
14	Neuroscience & Behavior	485	12608	470	11316	8	19	166	851	8	9
71	Clinical Medicine	1078	12561	1066	17210	10	11	91	490	19	24
35	Biology & Biochemistry	813	12426	764	12425	44	94	133	667	2	2
6	Environment/Ecology	582	12150	553	11666	20	44	101	689	27	42
48	Environment/Ecology	946	12049	911	11100	26	43	117	643	44	70
40	Agricultural Sciences	800	12030	756	10453	16	19	148	784	15	17
22	Physics	1499	11978	1448	9175	40	54	118	780	0	0
8	Microbiology	837	11761	812	12699	41	58	88	571	14	20
9	Chemistry	1727	11656	1653	11670	27	38	156	589	2	2
88	Global	861	11641	837	15174	16	23	90	430	21	28
3	Clinical Medicine	751	11553	734	16209	11	17	68	388	19	30
24	Global	839	11500	796	12320	22	34	152	792	16	20
48	Plant & Animal Science	587	11393	564	16440	43	78	59	431	7	12
77	Global	612	11329	599	9192	10	19	110	939	17	22
8	Psychiatry/Psychology	920	11298	895	9927	27	40	130	725	9	26
35	Arts & Humanities	228	11281	207	5686	33	111	38	1126	1	1
13	Clinical Medicine	419	11272	403	17674	3	3	59	250	7	9
22	Chemistry	1936	11265	1859	12578	25	41	123	467	0	0
9	Agricultural Sciences	645	11178	625	11047	18	22	134	815	11	14
9	Social Sciences, General	801	11107	768	15207	29	48	47	189	29	32
12	Environment/Ecology	479	11107	461	13154	15	28	74	473	19	30
155	Clinical Medicine	641	11088	624	15492	9	11	91	383	9	16
1	Environment/Ecology	424	11027	393	7887	15	34	50	825	19	28
22	Geosciences	361	11019	339	6049	40	146	60	924	11	22
62	Clinical Medicine	376	11009	371	15650	3	7	52	351	10	12
79	Clinical Medicine	804	10983	780	13799	9	19	97	470	11	15
6	Agricultural Sciences	487	10968	458	7726	15	21	102	879	6	6
72	Clinical Medicine	799	10941	779	13449	11	21	95	516	26	37
105	Global	462	10934	455	14742	6	10	51	421	14	18
43	Clinical Medicine	651	10933	642	11055	12	20	71	729	13	22
160	Clinical Medicine	694	10872	684	15194	16	25	82	363	18	30
35	Plant & Animal Science	771	10867	718	8860	64	144	89	682	21	25
113	Clinical Medicine	615	10815	598	14382	6	8	59	435	10	15
38	Agricultural Sciences	501	10670	481	7859	11	15	116	831	13	14
91	Global	706	10667	689	15323	4	4	99	346	13	21
12	Clinical Medicine	399	10667	393	11033	20	37	53	572	13	16
40	Geosciences	691	10605	635	7434	36	55	95	655	12	18
9	Arts & Humanities	294	10565	273	5761	33	130	42	922	1	1
20	Clinical Medicine	614	10553	601	13568	11	19	80	427	9	13
6	Psychiatry/Psychology	749	10451	718	9934	15	38	115	452	12	19
78	Immunology	483	10332	466	10255	10	17	72	716	19	35
9	Pharmacology & Toxicology	906	10293	864	8441	31	57	151	716	19	22
75	Global	860	10288	831	12438	14	22	123	366	15	17
35	Space Sciences	459	10239	431	4923	91	401	54	774	0	0
22	Biology & Biochemistry	663	10182	641	11411	19	61	84	500	0	0
6	Physics	1542	10154	1500	8176	32	75	114	565	0	0
106	Global	523	10134	509	15059	9	12	74	246	8	16
48	Biology & Biochemistry	791	10120	765	9263	25	57	106	611	1	1
36	Clinical Medicine	503	10001	482	10192	10	13	98	489	25	79
14	Psychiatry/Psychology	402	10001	391	6898	9	14	85	674	14	22
94	Global	222	9963	214	6111	13	90	39	908	6	6
88	Clinical Medicine	671	9951	653	13165	13	20	71	353	17	23
105	Clinical Medicine	368	9919	363	13251	4	7	44	410	12	16
128	Clinical Medicine	532	9912	516	12525	8	16	75	526	19	27
89	Clinical Medicine	701	9897	685	11243	11	21	79	502	19	25
40	Psychiatry/Psychology	777	9795	742	8460	16	23	107	511	14	22
154	Global	403	9792	396	8031	12	15	78	732	7	11
97	Global	572	9757	558	11831	17	18	65	407	10	15
113	Biology & Biochemistry	85	9703	82	4471	5	18	13	1028	0	0
81	Global	624	9591	606	11991	13	21	95	378	11	12
113	Molecular Biology & Genetics	38	9513	38	2935	4	17	12	1104	0	0
48	Neuroscience & Behavior	528	9491	501	8132	23	47	127	614	4	7
129	Global	561	9486	540	10931	11	16	68	481	10	11
4	Physics	1027	9478	1003	7837	14	25	83	580	3	3
3	Environment/Ecology	712	9436	691	10829	19	21	67	412	35	67
82	Global	740	9404	727	11794	5	5	95	381	14	24
20	Environment/Ecology	610	9355	594	10392	13	19	66	432	21	31
40	Biology & Biochemistry	718	9253	690	10252	12	28	99	455	6	8
139	Global	662	9200	641	10710	9	12	107	395	16	29
68	Clinical Medicine	383	9193	380	11100	8	12	43	520	5	8
76	Global	621	9135	616	14338	4	7	76	259	7	10
6	Neuroscience & Behavior	690	9099	653	8626	19	30	193	472	5	8
117	Global	689	9034	653	12324	13	15	66	238	29	34
33	Environment/Ecology	723	9014	678	9626	16	24	103	358	18	23
14	Plant & Animal Science	264	8988	242	7274	44	116	56	808	7	9
51	Clinical Medicine	622	8948	594	11214	12	17	73	322	24	36
36	Engineering	1295	8940	1113	9923	31	51	161	462	30	37
31	Biology & Biochemistry	424	8934	410	5099	11	18	54	866	0	0
103	Immunology	476	8908	471	11332	16	28	64	459	13	26
77	Clinical Medicine	406	8863	399	7173	7	15	60	779	13	15
106	Clinical Medicine	408	8836	398	13616	7	10	55	195	7	15
121	Global	647	8770	634	11032	11	14	90	385	11	20
9	Physics	1213	8683	1185	8582	16	23	79	395	7	7
27	Environment/Ecology	735	8671	710	9923	16	39	67	374	35	58
60	Molecular Biology & Genetics	205	8580	199	6447	10	29	56	698	0	0
6	Plant & Animal Science	399	8561	372	7387	45	90	53	528	4	5
34	Biology & Biochemistry	236	8539	221	19177	7	19	36	268	5	6
22	Molecular Biology & Genetics	298	8472	291	6469	23	98	70	658	4	4
48	Agricultural Sciences	670	8470	621	6996	14	18	95	528	12	18
37	Biology & Biochemistry	559	8447	536	8622	15	19	87	494	0	0
41	Clinical Medicine	504	8437	491	7970	6	7	63	580	7	10
57	Global	771	8430	731	7465	24	34	53	502	17	23
148	Neuroscience & Behavior	549	8427	517	8157	13	16	183	493	11	15
14	Social Sciences, General	583	8380	553	10676	31	57	59	275	25	32
8	Arts & Humanities	226	8318	202	4840	27	53	34	718	0	0
22	Materials Science	1628	8288	1561	7919	25	43	85	399	1	2
6	Chemistry	1254	8277	1180	7783	26	33	142	388	1	1
82	Clinical Medicine	599	8223	589	10271	4	4	74	346	12	22
47	Plant & Animal Science	624	8217	608	8772	27	48	57	419	13	24
65	Clinical Medicine	503	8207	492	12400	11	12	67	339	18	25
44	Clinical Medicine	439	8193	419	8301	6	7	45	441	9	9
35	Microbiology	772	8190	741	9332	17	23	87	324	31	44
48	Chemistry	1535	8173	1485	9277	20	37	96	290	1	1
37	Molecular Biology & Genetics	380	8164	365	9480	11	26	69	441	0	0
